Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,selected
"Yang, Peiqi; Verhoef, Wout; Van der Tol, Christiaan; ",Unified four-stream radiative transfer theory in the optical-thermal domain with consideration of fluorescence for multi-layer vegetation canopies,Remote Sensing,12,23,3914,2020,MDPI,y
"Wang, Ran; Liu, Zhigang; Yang, Peiqi; ",Principle and progress in remote sensing of vegetation solar-induced chlorophyll fluorescence,Advances in Earth Science,27,11,1221,2012,,
"Yang, Peiqi; van der Tol, Christiaan; Campbell, Petya KE; Middleton, Elizabeth M; ",Fluorescence Correction Vegetation Index (FCVI): A physically based reflectance index to separate physiological and non-physiological information in far-red sun-induced chlorophyll fluorescence,Remote sensing of environment,240,,111676,2020,Elsevier,y
"Yang, Peiqi; Verhoef, Wout; Prikaziuk, Egor; van der Tol, Christiaan; ",Improved retrieval of land surface biophysical variables from time series of Sentinel-3 OLCI TOA spectral observations by considering the temporal autocorrelation of surface and atmospheric properties,Remote sensing of environment,256,,112328,2021,Elsevier,y
"Vilfan, Nastassia; Van der Tol, Christiaan; Yang, Peiqi; Wyber, Rhys; Malenovský, Zbyněk; Robinson, Sharon A; Verhoef, Wouter; ",Extending Fluspect to simulate xanthophyll driven leaf reflectance dynamics,Remote sensing of environment,211,,345-356,2018,Elsevier,y
"Jiang, Hao; Liu, Zhigang; Wang, Jin; Yang, Peiqi; Zhang, Runfei; Zhang, Xiuping; Zheng, Pu; ",Combining chlorophyll fluorescence and vegetation reflectance indices to estimate non-photochemical quenching (NPQ) of rice at the leaf scale,Remote Sensing,15,17,4222,2023,MDPI,
"Malenovský, Zbyněk; Regaieg, Omar; Yin, Tiangang; Lauret, Nicolas; Guilleux, Jordan; Chavanon, Eric; Duran, Nuria; Janoutová, Růžena; Delavois, Antony; Meynier, Jean; ",Discrete anisotropic radiative transfer modelling of solar-induced chlorophyll fluorescence: Structural impacts in geometrically explicit vegetation canopies,Remote Sensing of Environment,263,,112564,2021,Elsevier,
"Celesti, Marco; van der Tol, Christiaan; Cogliati, Sergio; Panigada, Cinzia; Yang, Peiqi; Pinto, Francisco; Rascher, Uwe; Miglietta, Franco; Colombo, Roberto; Rossini, Micol; ",Exploring the physiological information of Sun-induced chlorophyll fluorescence through radiative transfer model inversion,Remote Sensing of Environment,215,,97-108,2018,Elsevier,
"Joiner, Joanna; Yoshida, Yasuko; Köehler, Philipp; Campbell, Petya; Frankenberg, Christian; van der Tol, Christiaan; Yang, Peiqi; Parazoo, Nicholas; Guanter, Luis; Sun, Ying; ",Systematic orbital geometry-dependent variations in satellite solar-induced fluorescence (SIF) retrievals,Remote Sensing,12,15,2346,2020,MDPI,
"Zhang, Runfei; Yang, Peiqi; Liu, Shouyang; Wang, Caihong; Liu, Jing; ",Evaluation of the methods for estimating leaf chlorophyll content with SPAD chlorophyll meters,Remote Sensing,14,20,5144,2022,MDPI,y
"van der Tol, Christiaan; Julitta, Tommaso; Yang, Peiqi; Sabater, Neus; Reiter, Ilja; Tudoroiu, Marin; Schuettemeyer, Dirk; Drusch, Matthias; ",Retrieval of chlorophyll fluorescence from a large distance using oxygen absorption bands,Remote Sensing of Environment,284,,113304,2023,Elsevier,
"Campbell, Petya; Middleton, Elizabeth; Huemmrich, Karl; Ward, Lauren; Julitta, Tommaso; Yang, Peiqi; van der Tol, Christiaan; Daughtry, Craig; Russ, Andrew; Alfieri, Joseph; ","Scaling photosynthetic function and CO2 dynamics from leaf to canopy level for maize–dataset combining diurnal and seasonal measurements of vegetation fluorescence, reflectance and vegetation indices with canopy gross ecosystem productivity",Data in Brief,39,,107600,2021,Elsevier,
"Prikaziuk, E; Yang, P; van der Tol, C; ","Google Earth Engine Sentinel-3 OLCI Level-1 Dataset Deviates from the Original Data: Causes and Consequences. Remote Sens. 2021, 13, 1098",,,,,2021,s Note: MDPI stays neutral with regard to jurisdictional claims in published …,
"Yang, Peiqi; Liu, Xinjie; Liu, Zhigang; van der Tol, Christiaan; Liu, Liangyun; ","The roles of radiative, structural and physiological information of sun-induced chlorophyll fluorescence in predicting gross primary production of a corn crop at various temporal scales",Agricultural and Forest Meteorology,342,,109720,2023,Elsevier,y
"Rastogi, Anshu; Antala, Michal; Prikaziuk, Egor; Yang, Peiqi; van der Tol, Christiaan; Juszczak, Radoslaw; ",Exploring the Potential of SCOPE Model for Detection of Leaf Area Index and Sun-Induced Fluorescence of Peatland Canopy,Remote Sensing,14,16,4010,2022,MDPI,
"Martini, David; Pacheco-Labrador, Javier; Perez-Priego, Oscar; Van der Tol, Christiaan; El-Madany, Tarek S; Julitta, Tommaso; Rossini, Micol; Reichstein, Markus; Christiansen, Rune; Rascher, Uwe; ",Nitrogen and phosphorus effect on sun-induced fluorescence and gross primary productivity in mediterranean grassland,Remote Sensing,11,21,2562,2019,MDPI,
"Yang, Peiqi; van der Tol, Christiaan; Verhoef, Wout; Damm, Alexander; Schickling, Anke; Kraska, Thorsten; Muller, Onno; Rascher, Uwe; ",Using reflectance to explain vegetation biochemical and structural effects on sun-induced chlorophyll fluorescence,Remote sensing of environment,231,,110996,2019,Elsevier,y
"van der Tol, Christiaan; Vilfan, Nastassia; Yang, Peiqi; Bayat, Bagher; Verhoef, Wout; ","Modeling reflectance, fluorescence and photosynthesis: development of the SCOPE model",IGARSS 2018-2018 IEEE International Geoscience and Remote Sensing Symposium,,,5968-5971,2018,IEEE,
"van der Tol, Christiaan; Vilfan, Nastassia; Dauwe, Dimitri; Cendrero-Mateo, Maria Pilar; Yang, Peiqi; ",The scattering and re-absorption of red and near-infrared chlorophyll fluorescence in the models Fluspect and SCOPE,Remote sensing of environment,232,,111292,2019,Elsevier,
"van der Tol, Christiaan; Yang, Peiqi; ","From SIF to photosynthesis: Achievements, challenges and opportunities",AGU Fall Meeting Abstracts,2020,,B039-02,2020,,
"Yang, Peiqi; Prikaziuk, Egor; Verhoef, Wout; van Der Tol, Christiaan; ",SCOPE 2.0: A model to simulate vegetated land surface fluxes and satellite signals,Geoscientific Model Development,14,7,4697-4712,2021,"Copernicus Publications Göttingen, Germany",y
"Yang, Peiqi; Liu, Zhigang; ",Remote sensing of solar-induced chlorophyll fluorescence from an unmanned airship platform,2013 IEEE International Geoscience and Remote Sensing Symposium-IGARSS,,,2786-2789,2013,IEEE,
"Yang, Peiqi; ",Interpretation of Sun-Induced Chlorophyll Fluorescence for Remote Sensing of Photosynthesis,,,,,2019,University of Twente,y
"Liu, Zhigang; He, Xue; Yang, Peiqi; Jiang, Hao; Xu, Shan; Zhao, Huarong; Ren, Sanxue; Chen, Mi; ",Diurnal pattern of sun-induced chlorophyll fluorescence as reliable indicators of crop water stress,IEEE Geoscience and Remote Sensing Letters,20,,1月5日,2023,IEEE,
"Wang, Yunfei; Zeng, Yijian; Yu, Lianyu; Yang, Peiqi; Van der Tol, Christiaan; Yu, Qiang; Lü, Xiaoliang; Cai, Huanjie; Su, Zhongbo; ","Integrated modeling of canopy photosynthesis, fluorescence, and the transfer of energy, mass, and momentum in the soil–plant–atmosphere continuum (STEMMUS–SCOPE v1. 0.0)",Geoscientific Model Development,14,3,1379-1407,2021,"Copernicus Publications Göttingen, Germany",
"Yang, Pei-Qi; LIU, Zhi-gangNI Zhuo-ya; WANG, RanWANG Qing-shan; ",Remote sensing of chlorophyll fluorescence at airborne level based on unmanned airship platform and hyperspectral sensor,Spectroscopy and Spectral Analysis,33,11,3101-3105,2013,"Editorial Office, Spectroscopy and Spectral Analysis",
"Yang, Peiqi; ","Exploring the interrelated effects of soil background, canopy structure and sun-observer geometry on canopy photochemical reflectance index",Remote Sensing of Environment,279,,113133,2022,Elsevier,y
"Yang, Peiqi; van der Tol, Christiaan; ",Linking canopy scattering of far-red sun-induced chlorophyll fluorescence with reflectance,Remote Sensing of Environment,209,,456-467,2018,Elsevier,y
"Yang, Peiqi; van der Tol, Christiaan; Yin, Tiangang; Verhoef, Wout; ",The SPART model: A soil-plant-atmosphere radiative transfer model for satellite measurements in the solar spectrum,Remote Sensing of Environment,247,,111870,2020,Elsevier,y
"Prikaziuk, Egor; Yang, Peiqi; van der Tol, Christiaan; ",Google earth engine sentinel-3 olci level-1 dataset deviates from the original data: Causes and consequences,Remote sensing,13,6,1098,2021,MDPI,
"Shi, Siqi; Yang, Peiqi; van der Tol, Christiaan; ",Spatial-temporal dynamics of land surface phenology over Africa for the period of 1982–2015,Heliyon,9,6,,2023,Elsevier,y
"Wang, Yunfei; Zeng, Yijian; Yu, Lianyu; Yang, Peiqi; Van de Tol, Christiaan; Cai, Huanjie; Su, Zhongbo; ","Integrated modeling of photosynthesis and transfer of energy, mass and momentum in the soil-plant-atmosphere continuum system",Geoscientific Model Development Discussions,2020,,1-37,2020,"Göttingen, Germany",
"Yang, Peiqi; Verhoef, Wout; van der Tol, Christiaan; ","The mSCOPE model: A simple adaptation to the SCOPE model to describe reflectance, fluorescence and photosynthesis of vertically heterogeneous canopies",Remote sensing of environment,201,,1月11日,2017,Elsevier,
"Celesti, Marco; Biriukova, Khelvi; Campbell, Petya KE; Cesana, Ilaria; Cogliati, Sergio; Damm, Alexander; Drusch, Matthias; Julitta, Tommaso; Middleton, Elizabeth; Migliavacca, Mirco; ",Exploring continuous time series of vegetation hyperspectral reflectance and solar-induced fluorescence through radiative transfer model inversion,EGU General Assembly Conference Abstracts,,,14904,2020,,
"Yang, Peiqi; Tol, Christiaan Van der; Campbell, Petya Entcheva; Middleton, Elizabeth M; ",Unraveling the physical and physiological basis for the solar-induced chlorophyll fluorescence and photosynthesis relationship using continuous leaf and canopy measurements of a corn crop,Biogeosciences,,,,2021,EGU,y
"Siegmann, Bastian; Cendrero-Mateo, Maria Pilar; Cogliati, Sergio; Damm, Alexander; Gamon, John; Herrera, David; Jedmowski, Christoph; Junker-Frohn, Laura Verena; Kraska, Thorsten; Muller, Onno; ",Downscaling of far-red solar-induced chlorophyll fluorescence of different crops from canopy to leaf level using a diurnal data set acquired by the airborne imaging spectrometer HyPlant,Remote sensing of environment,264,,112609,2021,Elsevier,
"Ni, Zhuoya; Liu, Zhigang; Li, Zhao-Liang; Nerry, Françoise; Huo, Hongyuan; Sun, Rui; Yang, Peiqi; Zhang, Weiwei; ",Investigation of atmospheric effects on retrieval of sun-induced fluorescence using hyperspectral imagery,Sensors,16,4,480,2016,MDPI,
"Yang, Peiqi; van der Tol, Christiaan; ",A Spectral Invariant Approach to Modelling Radiative Transfer Of Sun-Induced Chlorophyll Fluorescence,IGARSS 2018-2018 IEEE International Geoscience and Remote Sensing Symposium,,,1711-1714,2018,IEEE,y
"Wang, Na; Yang, Peiqi; Clevers, Jan GPW; Wieneke, Sebastian; Kooistra, Lammert; ",Decoupling physiological and non-physiological responses of sugar beet to water stress from sun-induced chlorophyll fluorescence,Remote Sensing of Environment,286,,113445,2023,Elsevier,
"Bayat, Bagher; van der Tol, Christiaan; Yang, Peiqi; Verhoef, Wouter; ",Extending the SCOPE model to combine optical reflectance and soil moisture observations for remote sensing of ecosystem functioning under water stress conditions,Remote Sensing of Environment,221,,286-301,2019,Elsevier,
"Vilfan, Nastassia; van der Tal, Christiaan; Yang, Peiqi; Verhoef, Wouter; ",Retrieving Photosynthetic Capacity Parameter from Leaf Photochemical Reflectance and Chlorophyll Fluorescence,IGARSS 2018-2018 IEEE International Geoscience and Remote Sensing Symposium,,,5991-5994,2018,IEEE,
"Han, Dalei; Liu, Jing; Zhang, Runfei; Liu, Zhigang; Guo, Tingrui; Jiang, Hao; Wang, Jin; Zhao, Huarong; Ren, Sanxue; Yang, Peiqi; ",Evaluation of the SAIL radiative transfer model for simulating canopy reflectance of row crop canopies,Remote Sensing,15,23,5433,2023,MDPI,y
"Yang, Peiqi; ",Downscaling canopy photochemical reflectance index to leaf level by correcting for the soil effects,Remote Sensing of Environment,311,,114250,2024,Elsevier,y
"Yang, Peiqi; van der Tol, Christiaan; Liu, Jing; Liu, Zhigang; ",Separation of the direct reflection of soil from canopy spectral reflectance,Remote Sensing of Environment,316,,114500,2025,Elsevier,y
"Wang, Jin; Liu, Zhigang; Jiang, Hao; Yang, Peiqi; Xu, Shan; Guo, Tingrui; Zhang, Runfei; Han, Dalei; Zhao, Huarong; ",Integrating Diurnal Physiological and Structural Variations in SIF for Enhanced Daily Drought Detection in Maize,Remote Sensing,17,4,565,2025,MDPI,
"Li, Wei; Li, Dong; Warner, Timothy A; Liu, Shouyang; Baret, Frédéric; Yang, Peiqi; Jiang, Jiale; Dong, Mingxia; Cheng, Tao; Zhu, Yan; ",Improved generality of wheat green LAI models through mitigation of the effect of leaf chlorophyll content variation with red edge vegetation indices,Remote Sensing of Environment,318,,114589,2025,Elsevier,
"Yang, Peiqi; ",Interpretation of Sun-Induced Chlorophyll Fluorescence for Remote Sensing of Photosynthesis,,,,,2018,,y
"Yang, Peiqi; Verhoef, Wout; Fang, Hongliang; Fan, Wenjie; van der Tol, Christiaan; ",Linking Kubelka-Munk and recollision probability theories for radiative transfer simulations in turbid canopy,Remote Sensing of Environment,321,,114680,2025,Elsevier,y
"Shi, Siqi; Yang, Peiqi; Vrieling, Anton; Tol, Christiaan van der; ",Vegetation optimal temperature modulates global vegetation season onset shifts in response to warming climate,Communications Earth & Environment,6,1,203,2025,Nature Publishing Group UK London,y
"Zhou, Zehui; Jin, Jiaxin; Yong, Bin; Huang, Weidong; Yu, Lei; Yang, Peiqi; Sun, Dianchen; ",Enhanced NDVI prediction accuracy in complex geographic regions by integrating machine learning and climate data—a case study of Southwest basin,International Journal of Applied Earth Observation and Geoinformation,139,,104498,2025,Elsevier,
"Zhang, Runfei; Yang, Peiqi; Xu, Shan; Li, Long; Guo, Tingrui; Han, Dalei; Liu, Jing; ",The relationship between the ratio of far-red to red leaf SIF and leaf chlorophyll content: theoretical derivation and experimental validation,Remote Sensing of Environment,324,,114762,2025,Elsevier,y
"Shi, Siqi; Yang, Peiqi; Vrieling, Anton; van der Tol, Christiaan; ",Opposite effects of temperature and precipitation on vegetation growth onset in Africa,Agricultural and Forest Meteorology,371,,110604,2025,Elsevier,y
"Lu, Xuhui; Yang, Peiqi; Mac Arthur, Alasdair; van der Tol, Christiaan; ",Using reflectance to reduce solar angle effects on the scattering of far-red solar-induced chlorophyll fluorescence to better track the diurnal dynamics of gross primary productivity,Agricultural and Forest Meteorology,373,,110794,2025,Elsevier,y
"Yang, Peiqi; Liu, Zhigang; Han, Dalei; Zhang, Runfei; Siegmann, Bastian; Liu, Jing; Zhao, Huarong; Rascher, Uwe; Chen, Jing M; van der Tol, Christiaan; ",Mitigating the black-soil problem in the reflectance-to-fluorescence (R2F) relationship: A soil-adjusted reflectance-based approach for downscaling SIF,Remote Sensing of Environment,330,,114998,2025,Elsevier,y
"Han, Dalei; Liu, Jing; Xu, Shan; Yin, Tiangang; Liu, Siya; Zhang, Runfei; Yang, Peiqi; ",Estimation of canopy fAPAR using optical reflectance and airborne LiDAR data,Remote Sensing of Environment,332,,115065,2026,Elsevier,y
